"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-01","1990","01","01","","5.0","","-4.5","","0.3","","17.7","","0.0","","0.0","","0.2","","0.2","","3","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-02","1990","01","02","","-2.5","","-11.5","","-7.0","","25.0","","0.0","","0.0","","0.6","","0.6","","4","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-03","1990","01","03","","1.5","","-12.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-04","1990","01","04","","2.5","","-12.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-05","1990","01","05","","7.0","","-12.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-06","1990","01","06","","5.5","","-2.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-07","1990","01","07","","7.0","","-5.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-08","1990","01","08","","7.0","","-1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-09","1990","01","09","","5.5","","-3.5","","1.0","","17.0","","0.0","","0.0","","0.4","","0.4","","2","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-10","1990","01","10","","-0.5","","-5.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-11","1990","01","11","","-0.5","","-14.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-12","1990","01","12","","5.5","","-12.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-13","1990","01","13","","10.0","","-1.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-14","1990","01","14","","4.0","","-1.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-15","1990","01","15","","3.0","","-6.5","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","1","","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-16","1990","01","16","","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","0.9","","0.9","","0","T","","","",""
"-114.13","51.08","UNIVERSITY OF CALGARY","3036652","1990-01-17","1990","01","17","","-0.5","","-13.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
