Day,Time,101,102,201
Monday,9:00,,,
Monday,10:00,,,
Monday,11:00,,,
Monday,12:00,,,
Monday,13:00,,,
Monday,14:00,,,
Monday,15:00,,,
Monday,16:00,,,
Monday,17:00,,,
Tuesday,9:00,,,
Tuesday,10:00,,,
Tuesday,11:00,,,
Tuesday,12:00,,,
Tuesday,13:00,,,
Tuesday,14:00,,,
Tuesday,15:00,,,
Tuesday,16:00,,,
Tuesday,17:00,,,
Wednesday,9:00,,,
Wednesday,10:00,,,
Wednesday,11:00,,,
Wednesday,12:00,,,
Wednesday,13:00,,,
Wednesday,14:00,,,
Wednesday,15:00,,,
Wednesday,16:00,,,
Wednesday,17:00,,,
Thursday,9:00,,,
Thursday,10:00,,,
Thursday,11:00,,,
Thursday,12:00,,,
Thursday,13:00,,,
Thursday,14:00,,,
Thursday,15:00,,,
Thursday,16:00,,,
Thursday,17:00,,,
Friday,9:00,,,
Friday,10:00,,,
Friday,11:00,,,
Friday,12:00,,,
Friday,13:00,,,
Friday,14:00,,,
Friday,15:00,,,
Friday,16:00,,,
Friday,17:00,,,
Saturday,9:00,,,
Saturday,10:00,,,
Saturday,11:00,,,
Saturday,12:00,,,
Saturday,13:00,,,
Saturday,14:00,,,
Saturday,15:00,,,
Saturday,16:00,,,
Saturday,17:00,,,
